Date,Open,High,Low,Close,Vol
25/08/2016 20:00,1.31901,1.31911,1.31812,1.31881,3959
25/08/2016 20:30,1.31882,1.31917,1.31847,1.31902,2335
25/08/2016 21:00,1.31899,1.31908,1.31848,1.31872,533
25/08/2016 21:30,1.31874,1.31892,1.31846,1.31864,1417
25/08/2016 22:00,1.31864,1.31901,1.31864,1.31889,2625
25/08/2016 22:30,1.31889,1.31934,1.31876,1.31902,4221
25/08/2016 23:00,1.31901,1.31919,1.31867,1.31906,1377
25/08/2016 23:30,1.31905,1.31939,1.31903,1.31921,1729
26/08/2016 00:00,1.31921,1.32071,1.31913,1.32044,4336
26/08/2016 00:30,1.32046,1.32158,1.32038,1.32101,4872
26/08/2016 01:00,1.32101,1.32102,1.32008,1.32026,5383
26/08/2016 01:30,1.32026,1.32032,1.3195,1.31974,4854
26/08/2016 02:00,1.31974,1.3208,1.31956,1.32067,5351
26/08/2016 02:30,1.32067,1.32067,1.32013,1.32054,2333
26/08/2016 03:00,1.32053,1.32091,1.32037,1.32077,2518
26/08/2016 03:30,1.32077,1.32078,1.32046,1.32069,3733
26/08/2016 04:00,1.32069,1.3209,1.32069,1.32079,2498
26/08/2016 04:30,1.32079,1.32117,1.32061,1.3207,2340
26/08/2016 05:00,1.3207,1.32099,1.32055,1.32061,3004
26/08/2016 05:30,1.32061,1.32218,1.32046,1.32168,4294
26/08/2016 06:00,1.32168,1.32212,1.32087,1.32142,9999
26/08/2016 06:30,1.3214,1.32239,1.32109,1.32175,8564
26/08/2016 07:00,1.32174,1.32327,1.32108,1.32282,13591
26/08/2016 07:30,1.32284,1.32318,1.32124,1.32124,9465
26/08/2016 08:00,1.32124,1.3221,1.32084,1.32202,8678
26/08/2016 08:30,1.32199,1.32331,1.32082,1.3209,14420
26/08/2016 09:00,1.3209,1.32137,1.32042,1.3208,9165
26/08/2016 09:30,1.3208,1.32102,1.31968,1.31985,7901
26/08/2016 10:00,1.31985,1.32028,1.31889,1.31914,7238
26/08/2016 10:30,1.31914,1.32035,1.31815,1.32003,8588
26/08/2016 11:00,1.32002,1.32036,1.31953,1.31991,8332
26/08/2016 11:30,1.31991,1.32103,1.31949,1.32043,8218
26/08/2016 12:00,1.32042,1.32169,1.32001,1.32038,9938
26/08/2016 12:30,1.32038,1.32196,1.3198,1.32119,16617
